duration,protocol_type,service,src_bytes,dst_bytes,flag,logged_in,num_compromised,dst_host_count,same_srv_rate,attack_type
38,udp,smtp,84,302,SF,1,1,240,0.3971113510031965,normal
89,icmp,finger,378,249,RSTO,0,1,164,0.26829834270483965,normal
9,tcp,ftp,24,1176,RSTO,1,1,187,0.6445888677590829,normal
27,tcp,ftp,307,1353,REJ,0,2,51,0.39527491918649016,normal
93,udp,dns,688,1827,S0,1,1,244,0.2540007168295517,probe
81,tcp,smtp,518,28,REJ,0,4,203,0.773246415901616,normal
43,tcp,dns,785,658,S0,0,2,49,0.14106661712995283,normal
29,udp,http,545,890,S0,0,2,75,0.6786876679119885,u2r
22,tcp,ecr_i,43,1028,SF,0,1,64,0.6450799353179432,normal
5,icmp,finger,785,716,REJ,0,3,147,0.7096935916405515,probe
32,tcp,dns,308,1263,SF,0,0,35,0.4670285640858354,normal
71,tcp,http,939,1925,SF,0,2,162,0.7134577251478013,normal
64,tcp,smtp,886,1876,RSTO,0,1,151,0.7456110243394062,probe
74,udp,smtp,360,1365,SF,1,1,100,0.6657487158516568,normal
25,tcp,ecr_i,664,419,S0,0,2,13,0.8394820874518281,normal
45,tcp,ftp,862,1436,REJ,0,2,200,0.6119585236376293,normal
3,icmp,ecr_i,324,59,RSTO,0,1,5,0.6456309832450484,normal
78,tcp,dns,270,1975,S0,1,2,123,0.7042161011964702,normal
5,tcp,dns,284,1071,S0,1,3,204,0.2004814441751922,dos
73,tcp,ftp,23,1842,REJ,0,2,218,0.052289233899218246,dos
36,udp,finger,669,704,SF,1,3,53,0.9267976745708373,normal
49,tcp,http,198,1401,S0,1,3,177,0.5697583854361249,normal
91,tcp,smtp,931,1767,REJ,1,1,56,0.2744361153336832,dos
92,tcp,smtp,163,52,REJ,0,3,203,0.2927055785245173,normal
82,udp,finger,11,1859,RSTO,0,2,69,0.15219818719016698,dos
61,icmp,finger,613,1777,RSTO,1,1,241,0.9381937196842326,u2r
46,tcp,dns,862,1442,REJ,0,4,71,0.5109439423346956,normal
30,tcp,ecr_i,501,1413,SF,0,1,40,0.38255399877509666,dos
43,udp,dns,677,1589,S0,0,3,136,0.20300330221908813,normal
64,icmp,http,267,995,SF,0,3,251,0.8969194085772857,normal
41,tcp,finger,21,1208,S0,1,2,236,0.09940367647616966,normal
80,tcp,finger,630,1235,S0,1,4,226,0.7193980593665195,normal
66,tcp,ftp,428,1515,RSTO,0,0,229,0.10560659124664151,probe
52,tcp,dns,256,547,REJ,0,0,114,0.9334820018090452,u2r
67,udp,finger,331,1024,S0,0,2,193,0.269233553934057,normal
74,icmp,smtp,685,4,REJ,0,3,141,0.31609179179109426,normal
55,udp,finger,388,8,RSTO,0,1,188,0.38464801661092085,normal
30,tcp,finger,856,890,S0,0,2,112,0.5385057793253628,dos
0,tcp,smtp,52,1170,S0,1,2,228,0.3731066083376344,normal
49,icmp,finger,521,1071,S0,1,2,130,0.994184854105028,probe
9,tcp,smtp,772,917,SF,1,2,120,0.37469149223218656,normal
99,udp,dns,169,41,S0,1,0,181,0.9823060246621821,normal
3,tcp,http,516,1946,SF,0,1,132,0.7414029730577067,dos
59,udp,ecr_i,198,1820,RSTO,0,4,68,0.735050943316615,normal
93,tcp,smtp,23,1745,RSTO,0,4,6,0.25477282277916513,normal
90,udp,ftp,593,89,S0,0,3,49,0.47611032976375833,normal
72,tcp,smtp,705,1194,RSTO,1,3,10,0.2382246846115923,normal
82,tcp,ftp,56,599,REJ,0,3,22,0.42315877226672405,normal
98,udp,http,761,1672,SF,1,0,171,0.02002528852276475,normal
93,tcp,http,825,108,S0,0,1,79,0.7514801947070966,normal
